iter	Passed	Remaining
0	1	2236
1	2	2170
2	3	2167
3	4	2120
4	5	2109
5	6	2112
6	7	2106
7	8	2087
8	9	2064
9	10	2070
10	11	2072
11	12	2057
12	13	2053
13	14	2055
14	16	2149
15	17	2140
16	18	2140
17	19	2134
18	20	2125
19	21	2111
20	22	2101
21	23	2114
22	24	2110
23	25	2106
24	26	2107
25	27	2100
26	28	2094
27	29	2088
28	30	2079
29	32	2117
30	33	2112
31	34	2112
32	35	2111
33	36	2106
34	37	2103
35	38	2096
36	39	2093
37	40	2088
38	41	2084
39	42	2083
40	43	2082
41	44	2078
42	45	2077
43	46	2076
44	47	2080
45	48	2075
46	49	2076
47	51	2075
48	52	2076
49	53	2074
50	54	2072
51	55	2070
52	56	2070
53	57	2073
54	58	2072
55	59	2077
56	60	2073
57	61	2071
58	62	2068
59	64	2069
60	64	2065
61	66	2063
62	66	2057
63	68	2057
64	69	2055
65	70	2052
66	71	2050
67	72	2047
68	73	2047
69	74	2044
70	75	2041
71	76	2040
72	77	2036
73	78	2033
74	79	2031
75	80	2030
76	81	2028
77	82	2023
78	83	2019
79	84	2016
80	85	2014
81	86	2012
82	87	2010
83	88	2009
84	89	2007
85	90	2005
86	91	2003
87	92	2001
88	93	1999
89	94	1997
90	95	1994
91	96	1991
92	97	2006
93	98	2003
94	99	2000
95	100	2000
96	101	2000
97	102	1998
98	104	1997
99	105	1996
100	106	2000
101	107	1998
102	108	1997
103	109	1996
104	110	1994
105	111	1991
106	112	1989
107	113	1988
108	114	1986
109	115	1985
110	116	1983
111	117	1981
112	118	1977
113	119	1977
114	120	1973
115	121	1971
116	122	1970
117	123	1968
118	124	1966
119	125	1963
120	126	1962
121	127	1960
122	128	1959
123	129	1957
124	130	1956
125	131	1954
126	132	1952
127	133	1950
128	134	1947
129	135	1946
130	136	1945
131	137	1944
132	138	1943
133	139	1942
134	140	1940
135	141	1939
136	142	1939
137	143	1937
138	144	1935
139	145	1933
140	146	1932
141	147	1931
142	148	1928
143	149	1926
144	150	1924
145	151	1923
146	152	1920
147	153	1918
148	154	1917
149	155	1915
150	156	1914
151	157	1912
152	158	1910
153	159	1907
154	160	1906
155	161	1904
156	162	1903
157	163	1901
158	164	1899
159	165	1897
160	166	1896
161	166	1894
162	168	1893
163	168	1891
164	169	1890
165	170	1888
166	171	1886
167	172	1884
168	173	1882
169	174	1881
170	175	1880
171	176	1879
172	177	1878
173	178	1876
174	179	1876
175	180	1874
176	181	1872
177	182	1872
178	183	1869
179	184	1868
180	185	1867
181	187	1868
182	188	1866
183	189	1865
184	190	1864
185	191	1863
